WER ,,,,CER,,
file_name,annotated,generated,,file_name,annotated,generated
2311021023,আমারে ভর দেখাইয়েন না।,রিকশাবেলা তার পেশি ফুলিয়ে বলল আপনি কেন তার রিকশায় তুইলা আমি টানতে পারবো,,2311021023,আমারে ভর দেখাইয়েন না।,রিকশাবেলা তার পেশি ফুলিয়ে বলল আপনি কেন তার রিকশায় তুইলা আমি টানতে পারবো
2311021014,কথাটার মধ্যে সত্যতা থাকতে পারে।,তিনি বলেন আমাকে পরিমাপ করতে পারবে এমন যন্ত্র আজও এই ধূলার ধোঁয়ায় আবিষ্কৃত হয়নি,,2311021021,আর আমি আপনার রিকশায় উঠব।,বললেন কী ব্যাপার আপনি রাজি হয়ে যাচ্ছেন যে প্যাসেঞ্জার কিন্তু আমি আপনি চালাবেন
2311021021,আর আমি আপনার রিকশায় উঠব।,বললেন কী ব্যাপার আপনি রাজি হয়ে যাচ্ছেন যে প্যাসেঞ্জার কিন্তু আমি আপনি চালাবেন,,2311021014,কথাটার মধ্যে সত্যতা থাকতে পারে।,তিনি বলেন আমাকে পরিমাপ করতে পারবে এমন যন্ত্র আজও এই ধূলার ধোঁয়ায় আবিষ্কৃত হয়নি
2310302055,জজসাহেব! জজসাহেব! জজসাহেব!,যদ সাহেব যদ সাহেব যজ সাহেব,,2311021019,মামা তাঁর বিস্ময় গোপন রাখতে পারলেন না।,রাস্তায় বেরুনও মাত্র একজন রিকশাওয়ালা মোটকুম আমাকে নিতে রাজি হয়ে গেল
2310302072,জজসাহেব! জজসাহেব! জজসাহেব।,যদ সাহেব যদ সাহেব যদ সাহেব,,2311021017,আজকে বোধহয় আমাদের কপাল ভালো ছিল।,এমন যন্ত্র আজও এই ধূলার ধরায় আবিষ্কৃত হয়নি
2310302227,শয়তান?কে?,শয়তান কে,,2311021012,মামা কোনোদিনও ওজন মাপা যন্ত্রে ওঠেননি।,আসলে মোটকুম আমার ওজন কত সেটা আমরা কেউ জানি না
2310302381,আমেনা আমেনা।,আমে না আমে না,,2311021016,এমন যন্ত্র আজও এই ধুলার ধরায় আবিষ্কৃত হয়নি,আমরা কেউ কোনোদিন তাকে চ্যালেঞ্জ করিনি
2311012022,জজসাহেব! জজসাহেব!,যজ সাহেব যদ সাহেব,,2311021015,আমরা কেউ কোনোদিন তাঁকে চ্যালেঞ্জ করিনি।,কথাটার মধ্যে সত্যতা থাকতে পারি
2311015268,জজসাহেব! জজসাহেব!,যজ সাহেব যদ সাহেব,,2311021018,রাস্তায় বেরুনোমাত্র একজন রিকশাওয়ালা মোটকু মামাকে নিতে রাজি হয়ে গেল।,আজকে বোধহয় আমাদের কপাল ভালো ছিল
2311015303,জজসাহেব! জজসাহেব!,জজ সাহেব জদ সাহেব,,2311021013,"তিনি বলেন, আমাকে পরিমাপ করতে পারবে, এমন যন্ত্র আজও এই ধুলার ধোয়ায় আবিষ্কৃত হয়নি।",মামা কোনোদিনও ওজন মাপা যন্ত্রে ওঠেননি
2311015633,জজসাহেব! জজসাহেব!,যদ সাহেব যদ সাহেব,,2311021020,"বললেন, 'কী ব্যাপার, আপনি রাজি হয়ে যাচ্ছেন যে প্যাসেঞ্জার কিন্তু আমি। আপনি চালাবেন।",মামা তার বিস্ময়ে গোপন রাখতে পারলেন না
2311021705,"লকলক করছে, শ্যামলিমায়,।",লক লক করছি শ্যাম লিমায়,,2311021022,"রিকশাওয়ালা তার পেশি ফুলিয়ে বলল, 'আপনে কেন, তার রিকশায় তুইলা আমি টানতে পারব।",আর আমি আপনার রিক্শায় উঠব
2311021019,মামা তাঁর বিস্ময় গোপন রাখতে পারলেন না।,রাস্তায় বেরুনও মাত্র একজন রিকশাওয়ালা মোটকুম আমাকে নিতে রাজি হয়ে গেল,,2309231451,১৯৫৯ সনে ১৫০ টাকা আজকের কয়েক হাজার টাকার সমান।,উনিশশো পঞ্চাশ সানের একশো পঞ্চাশ টাকা আজকে কয়েক হাজার টাকার সমান
2309021762,খাদ্যসংকটে পড়েছে।,খাদ্য সংকটে পড়েছে,,2310071695,"নাকি ২৫০টি ফ্রেমে খোদাই করা হয়েছে ২৫০টি গল্প,",নাকি দুইশো পঞ্চাশটি ফ্রেমে খোদায় করা হয়েছে দুইশো পঞ্চাশটি গল্প
2310112130,(মিসেস কাইএর প্রবেশ)হায় খোদা।,মিসে স ্কায়ের প্রবেশ হাই খোদা,,2309241003,"১৯৮০ সালে সর্বনিম্ন হার ৩৯.৯ শতাংশে উন্নীত হয়েছে, সর্বোচ্চ হার দাঁড়িয়েছে ৮৮.২ শতাংশ।",উনিশশো আশি সালে সর্বনিম্ন হার উনচল্লিশ দশমিক নয় শতাংশ উন্নীত হয়েছে সর্বোচ্চ হার দাঁড়িয়েছে আটাশি দশমিক দুই শতাংশ
2310301562,পোশাক-পরিচ্ছদ পরিষ্কার।,পোশাক পরিচ্ছদ পরিষ্কার,,2311022142,আমার বয়স তখন ১৪/১৫।,আমার বয়স তখন চৌদ্দ পনেরো
2310301715,যে-কথা বলছিলাম।,যে কথা বলছিলাম,,2311015377,"আল্লাহু, আল্লাহু। আল্লাহু, আল্লাহু।",আাহুআলাহু ালাহু
2310302021,শোকর আলহামদুলিল্লাহ্।,শোকরা আল হামদুল্লিল্লাহ,,2311231498,"ডঃ জি. সি. দেব, ডঃ এফ. আর, খান, মিঃ এ. মুকতাদির ।",ডক্টর জিসিদে ডক্টর এফার খান মিস্টার এ মুক্তাদির
2311021012,মামা কোনোদিনও ওজন মাপা যন্ত্রে ওঠেননি।,আসলে মোটকুম আমার ওজন কত সেটা আমরা কেউ জানি না,,2310311572,এসব গানের সুর সাজব্যান্য পল্লীগীতির মতো এসব গান রচনা করার সময়ে তিনিই হয়তে সুর।,অন্যান্য পল্লীগীতির মতো এসব গান রচনা করার সময়ে তিনিই হয়তো গান গিয়ে এতে সুর দিয়ে থাকবেন
2311022048,'গৃহপরিচারিকা মানে?'',গৃহ পরিচারিকা মানে,,2309241009,"১৯৬০ সালে জাপানে এই অনুপাত ছিল ৪৬ শতাংশ, ১৯৮০ সালে এই হার ৫৪ শতাংশে উন্নীত হয়েছে।",উনিশশো ষাট সালে জাপানে অনুপাত ছিল ছেচল্লিশ শতাংশ উনিশশো আশি সালে এই হার চুয়ান্ন শতাংশ উন্নীত হয়েছে
2311021311,"রিনিখালা বললেন, 'আমাকে কাঁটা-চামচ দিন।",িণী খেলা বললেন আমাকে কাটা চামচ দিন,,2310301131,(মহা বিশ্বয়ে) খোন্তা-শাবল।,মহাবিস্ময় খুনতা সাবন
2311231003,"করেছি বইকি। তবে-''তবে-টবে নয়। কি চিন্তাভাবনা করেছেন, বলুন।",করেছি বই কি তবে তবে টবে নয় কী চিন্তা ভাবনা করেছেন বলুন,,2309241183,অফিসের সময়ে থানা স্বাস্থ্যকেন্দ্রে ১৪.২৯ শতাংশ হতে ৫৭.১৪ শতাংশ ডাক্তার হাজির থাকে।,অফিসের সময় থানা স্বাস্থ্য কেন্দ্রে চৌদ্দ দশমিক উনত্রিশ শতাংশ হতে সাতান্ন দশমিক চৌদ্দ শতাংশ ডাক্তার হাজির থাকে
2310111478,আওই-কে কীকরছো ?,আমি কে কী করছ,,2308288084,তাই ১৯৩৬ সাল থেকেই চশমা পরছি।,তাই উনিশশো ছত্রিশ সাল থেকেই চশমা পড়ছি
2310301027,"(উচ্চ, তীক্ষ্ণকণ্ঠে) আব্বা!",উচ্চ তীক্ষ্ণ কণ্ঠে আব্বা,,2310301283,এ-ধন আমাদের সকলের।,কিন্তু এ ধন আমাদের সকলের
2310301052,"(কাতরকণ্ঠে) আব্বা, আব্বা!",কাতর কণ্ঠে আব্বা আব্বা,,2311021706,সীমা। 'উ?'',সীমা উ
2310301283,এ-ধন আমাদের সকলের।,কিন্তু এ ধন আমাদের সকলের,,2311021928,হ হ কল্লোল। যান আপনে ভিতরে যান।,হ্যাঁ হ্যাঁ কল্লর যেন আপনি ভেতরে যান
2310301571,বয়স পঞ্চাশের উপরে।,বয়স পঞ্চাশ এর উপরে,,2309021362,"১৯২৩ সালে, বয়স যখন ২৪, তখন জেলে গেছেন।",উনিশশো তেইশ সালে বয়স যখন চব্বিশ তখন জেলে গেছেন
2310301721,"নাম আমেনা, জজসাহেব।",নাম আমে না জদ সাহেব,,2309241007,১৯৬০ সালে সর্বোচ্চ অনুপাত ছিল ৭৩ শতাংশ।,উনিশশো ষাট সালে সর্বোচ্চ অনুপাত ছিল তিয়াত্তর শতাংশ
2310301831,"বাহবা, বাহবা।তীক্ষ্ণ স্মরণশক্তি।",বাহোবা বাহবা তীক্ষ্ম স্মরণসুক্নি,,2310302304,ভেতরটার অবস্থা যদি জানতেন! জজসাহেব!,ভিতরটা যদি জানতেন যছাই
2310301835,অনেক আলোচনা-তর্কবিতর্ক হল।,অনেক আলোচনা তর্ক বিতর্ক হলো,,2309021768,"বন বিভাগের তথ্যমতে, ২০০৮ সালে দেশে ১ হাজার ৯৭২টি শকুন ছিল।",বন বিভাগের তথ্যমতে দুই হাজার আট সালে দেশে এক হাজার নয়শো বাহাত্তরটি শকুন ছিল
2310301866,"না, জ্যান্ত মেয়েমানুষ।",না জ্যানত মে মানুষ,,2311021389,"আমি, টুকুল আর রিনিখালা।",আমি টুটুলা ঋণি খেলা
2310301875,"না,নেওলাপুরে বাঘ-ভাল্লুক কোথায়?",না নেওলাপুরে বাঘভারলুক কোথায়,,2310071179,"তাহলে মোট ধাপ হলো ১৮টি,",তাহলে মূর ধাপোলও আঠারোটি
2310301943,না-পরে উপায় কী?,না পরো উপায় কী,,2309021786,এই জেলায় ২০২১ সালে পঞ্চম শ্রেণিতে শিক্ষার্থী ছিল ১১ হাজার ৩৩০ জন।,এই জেলায় দুই হাজার একুশ সালে পঞ্চম শ্রেণিতে শিক্ষার্থী ছিল এগারো হাজার তিনশো ত্রিশ জন
2310301956,হাতুড়ি পিটিয়ে; রাগতভাবে।,হাতুড়ি পাটিয়ে রাগত ভাবে,,2309021789,২০২১ সালে ষষ্ঠ শ্রেণিতে ভর্তি হয় ৮১ শতাংশ।,দুই হাজার একুশ সালে ষষ্ঠ শ্রেণিতে ভর্তি হয় একাশি শতাংশ
2310302425,সবটাই বাহ্যিক রূপ।,সবটায় বা জিক ্রুপ,,2311015633,জজসাহেব! জজসাহেব!,যদ সাহেব যদ সাহেব
2310302588,তাঁর এ-দৃষ্টি অন্যত্র।,তার এই দৃষ্টি অন্যত্র,,2309021804,ঝরে পড়ে ৩৮ শতাংশ।,ঝরে পড়ে আটত্রিশ শতাংশ
2310311510,আর পরিণামে ধূপভস্ম।,আর পরি ণামে ধুপ ভস্ম,,2310111478,আওই-কে কীকরছো ?,আমি কে কী করছ
2310311653,গলায়ও বৈদগ্ধ্য এসেছে।,গলায়েও বৈ দগ্ধ এসেছে,,2310302072,জজসাহেব! জজসাহেব! জজসাহেব।,যদ সাহেব যদ সাহেব যদ সাহেব
2310311957,শচীন দেববর্মনও জসীমউদ্দীনের দু-একটা গান গেয়েছিলেন।,শচিন দেব বরমণও জসীম উদ্দিনের দুই একটা গান গেয়েছিলেন,,2311021806,আরি এই পিচ্চি কোথেকে এলো।,আরে এপিছি কর্থিকে এল
2311021017,আজকে বোধহয় আমাদের কপাল ভালো ছিল।,এমন যন্ত্র আজও এই ধূলার ধরায় আবিষ্কৃত হয়নি,,2309241286,তাই ২৪ ঘণ্টাতে না হলেও ৭ দিনের মধ্যে ৯৯.৯৯ শতাংশ অপরাধী তাঁরা ধরে ফেলতে পারেন।,তাই চব্বিশ ঘণ্টাতে না হলেও সাত দিনের মধ্যে নিরানব্বই দশমিক নিরানব্বই শতাংশ অপরাধী তারা ধরে ফেলতে পারেন
2311021642,"রিনিখালা বললেন, 'ধন্যবাদ।",ঋণি খেলা বললেন ধন্যবাদ,,2309021769,২০১৫ সালের সর্বশেষ শুমারিতে সেই সংখ্যা এসে দাঁড়িয়েছে ২৬০।,দুই হাজার পনেরো সালে সর্বশেষ শুমারিতে সেই সংখ্যা এসে দাঁড়িয়েছে দুইশো ষাইট
2311021678,'আপনার বাচ্চা-কাচ্চা কয়জন?,আপনার বাচ্চা কাছে কয়জন,,2309021386,১৯৪০-এ লাহোর প্রস্তাব গৃহীত হয়।,উনিশশো চল্লিশএ লাহোর প্রস্তাব গৃহীত হয়
2311021836,"শুনেন, স্যার।শুনেন আপা।",শুনেন স্যার শুনেন আপা,,2310071219,"এমন চতুর এই শহরেই ১৩টি থাকলেও এটিই সর্ববৃহৎ, দৈর্ঘ্য ৫৫১ ফুট, প্রস্থ ২৩০ ফুট।",এমন চত্বর এই শহরেই তেরোটি থাকলেও এটিই সর্ববৃহৎ দৈর্ঘ্য পাঁচশো একান্ন ফুট প্রস্ত দুইশো ত্রিশ ফুট
2310302101,না-করলে দেখতে-না-দেখতে ভিটে-বাড়ি নিলামে উঠে যাবে যে।,না করলে দেখতে না দেখতে ভিটে বাড়ি নিলামি উঠে যাবে যে,,2309021790,করোনার আগে ২০১৯ ও ২০২০ সালে ওই শ্রেণিতে ভর্তি হয়েছিল ৭৬ শতাংশ করে শিক্ষার্থী।,করোনার আগে দু হাজার উনিশ ও দু হাজার বিশ সালে ওই শ্রেণিতে ভর্তি হয়েছিল ছিয়াত্তর শতাংশ করে শিক্ষার্থী
2310081156,এজন্য প্রয়োজন বর্তুলাকার বলবিয়ারিং।,এজন্য প্রয়োজন বোর তুল কার বলবেয়ারি,,2310301511,"এই যে, এই যে সেই লোকটা! একেই খুন করব আমি! (কলিমের দিকে ছুটে যায়।",এই যে এই যে সে লোকটা একেই খুন করব আমি
2310301042,(রাগতভাবে ক্ষিপ্রগতিতে পায়চারি করে।,রাগতভাবে ক্ষিপ্র গতিতে পাইচারি করে,,2309241203,বাংলাদেশের পানি উন্নয়ন বোর্ডের বিভিন্ন প্রকল্পে ৭৬৮৭৭১ হেক্টর জমিতে সেচের সুবিধা সৃষ্টি করা হয়েছে।,বাংলাদেশে পানি উন্নয়ন বোর্ডের বিভিন্ন প্রকল্পে সাত লক্ষ আটষট্টি হাজার সাতশো একাত্তর হেক্টর জমিতে সেচে সুবিধা সৃষ্টি করা হয়েছে
2310301062,"মোটকথা, দিব্যি সুখেই আছেন।",মোট কথা দিব্যি সুখ হয় আছে,,2311021738,'শাড়িটা সুন্দর না?'',সাইটার সুন্দর না
2310301576,"বেরিয়ে যেতে-যেতে, পুকারের আওয়াজ",বেরিয়ে যেতে যেতে পোকারের আওয়াজ,,2308280324,"না দিলে মামলা করবেন। আব্বা বললেন, “কিছু টাকা আপনি নিয়ে এগুলি মেরামত করায়ে নেন।”
",না দিলে মামলা করবেন আব্বা বললেন কিছু টাকা নিয়ে আপনি
2310301874,"বাঘ-ভাল্লুক হবে, তারপর? ।",পাক ভা লুক হবে তারপর,,2310071346,এর দৈর্ঘ্য ছিল ৩২০ ফুট আর প্রস্থ ৮৪ ফুট।,এর দৈর্ঘ্য ছিল তিনশো বিশ ফুট আর প্রস্ত চুরাশি ফুট
2310311150,"যেমন, গৌড়মল্লার ও গৌড়সারঙ।",যেমন গৌর মল্লার ও গৌর সারং,,2311021635,কিন্তু রিনিখালা নামতে পারছেন না।,কিন্তু রানী কিন্তু ঋণিখেলা নামতে পারছেন না
2311012086,এ-সময়ে ধৈর্য-স্থৈর্যের বিশেষ প্রযোজন।,এ সময়ে ধৈর্য ওস্তর্যের বিশেষ প্রয়োজন,,2310302055,জজসাহেব! জজসাহেব! জজসাহেব!,যদ সাহেব যদ সাহেব যজ সাহেব
