WER ,,,,CER,,
2311015627,"আমাদেরও রক্তমাংসের শরীর। আমাদেরও বোধশক্তি আছে, মান-মর্যাদাজ্ঞান আছে।",আমাদেরও রক্ত মাংসে সরি আমাদেরও বোধ শক্তি আছে মান মর্যাদা জ্ঞান আছে,,2310111768,এটা কী মিঃ রোকুজো-র বাড়ি?,এটা কি মিস্টার রুকুজোর বাড়ি
2311021438,রিনিখালা হাসছেন। কাচভাঙা হাসি।,ঋণিখেলা হাসছে কাজ ভাঙা হাসি,,2310112205,তাড়াতাড়ি কয়েকটা কেস দেখে নি।,তারপর কয়েকটা কেস দেখিনি
2311021742,'তোমার শার্টটার রং কী?''বেগুনি,তোমার শার্টের রঙ কি বেগুনি,,2309241031,বাংলাদেশে মহিলারা পুরুষদের চেয়ে ২৯% কম স্যালারি পেয়ে থাকে।,বাংলাদেশে মহিলারা পুরুষদের চেয়ে উনত্রিশ পার্সেন্ট কম সেলারি পেয়ে থাকে
2311231637,ড্রয়িংরুমে বসে গল্পগুজব হচ্ছে।,ড্রয়িং রুমে বসে গল্প গুজব হচ্ছে,,2309241367,"গুজবে প্রকাশ, স্বয়ং জিবরাইল (আঃ) তাড়াতাড়ি পৃথিবীতে দৌড়ে আসেন।",গুজবে প্রকার স্বায়ং জ ইব্রাইল আলাইহিস সালাম তাড়াতাড়ি পৃথিবীতে দৌড়ে আসেন
2309231708,সংস্কার হল প্রণয়ঘটিতসম্পর্কের মত জটিল।,সংস্কার হলো প্রণয় ঘটিত সম্পর্কের মতো জটিল,,2308280212,"প্রথমে কেউই কিছু বলত না তাঁকে সম্মান করে। প্রথম গোলমাল হয় বোধহয় ১৯৪১ বা ১৯৪২ সালে চুঁচুড়া সম্মেলনে। 
",প্রথমে কেউই কিছু বলত না ত্বকে সম্মান করে প্রথম গোলমাল হয় বোধহয় উনিশশো একচল্লিশ বা উনিশশো বেয়াল্লিশ সালে চুচুরা সম্মেলনে
2310301870,"না; আজগুবি নয়, একবারে সত্য।",না আজ গুবি নয় একেবারে সত্য,,2311012022,জজসাহেব! জজসাহেব!,যজ সাহেব যদ সাহেব
2310302509,কোথায় গেলে আমার সত্যসন্ধানী যুবকবন্ধু?,কোথায় গেল আমার সত্য সন্ধানী যুবক বন্ধু,,2311015268,জজসাহেব! জজসাহেব!,যজ সাহেব যদ সাহেব
2311021054,"মোটকু মামা, টুটুল, রিনিখালা আর আমি-অয়ন।",মটকু মামার টুটুল িণি খালা আর আমি অয়ন,,2310301260,"বল, বল কোথায় সেটা? কোথা দিয়ে পথ?",বলো বল সেটা কোথায় কোথায় দিয়ে পথ
2311021233,"ছোটআপা, তুমি ওঠো। বুলিয়ে সান্ত্বনা দেব।",ছোট আপা তুমি ওঠো বুলিে সা ন্ত্বনা দেব,,2309241184,অফিস সময়ের পর থানা স্বাস্থ্য কেন্দ্রে গড়ে ১১.১ শতাংশ হতে ২২.২ শতাংশ ডাক্তার পাওয়া যায়।,অফিস সময়ের পর থানা স্বাস্থ্য কেন্দ্রে গড়ে এগারো দশমিক এক শতাংশ হতে বাইশ দশমিক দুই শতাংশ ডাক্তার পাওয়া যায়
2311231184,লোকে অফিস-আদালত-ব্যাঙ্ক সব চালাচ্ছে শেখের সময়ে।,লোকী অফিস আদালত ব্যাংক সব চাল াচ্ছে শেখের সময়,,2309231404,সর্বেতে ভূত ঢুকে পড়ে।,শরশিতে ভুট ঢুকে পড়ে
2310302466,ক্ষেতখামারের কথা বল ধান-ফসল গরুছাগলের কথা বল।,ক্ষেত খামারের কথা বলো ধান ফসল গরু ছাগলের কথা বলো,,2311021560,"তার মানে মার্ডারের খবরটা কে এডিট করবে, সংশোধন করবে ইত্যাদি।",তা মানে মার্ডারের খবরটা কী এডিট করবে
2311015212,"মধ্যে প্রান্তর, ধু-ধু করা দূর্বা-উদ্ভিদ গাছপালা-শূন্য প্রান্তর।",মধ্যে প্রান্তর ধু ধূ করা দুর্বা উদ্ভিদ গাছপালা শূন্য প্রান্তর,,2310302227,শয়তান?কে?,শয়তান কে
2311161594,বোমা-পটকা? কি গুঁড়ো করবি হামানদিস্তায়? মালমশলা কই?,বোমাপটকা কী গুরু করবি হামার দিস্তাই মাল মসলা কই,,2310301179,ও। (নকশা পড়ে)।,ও নকশা পড়ে
2310302258,নিশ্চয়ই সাহায্যকারী লাট-বেলাটের মতো উচ্চপদস্থ সুনামধারী কেউ হবে।,নিশ্চয়ই সাহায্য কাড়ির লাট বেলাটের মতো উচ্চ পদস্থ সুনামধারীকেও হবে,,2310302502,"ঢাল-তলোয়ার নাই, আমির হবার শখ।",ঢাল তলোয়ারনী আমির হবাষ্যক
2310311806,"এক কথায়, তাঁদের ভাষা ছিলো 'গীতবিতান'-নির্ভর অর্থাৎ রবীন্দ্র-অনুসারী।",এককথায় তাদের ভাষা ছিল গীত বিতার নির্ভর অর্থাৎ রবীন্দ্র অনুসারী,,2309241170,ইন্দোনেশিয়াতে ১১০০ ঘণ্টা ক্লাস হয়; আর বাংলাদেশে মাত্র ৪৪৪ ঘণ্টা ক্লাস হয়।,ইন্দোনেশিয়াতে এগারোশো ঘণ্টা ক্লাস হয় আর বাংলাদেশে মাত্র চারশো চুয়াল্লিশ ঘণ্টা ক্লাস হয়
2311231723,"আমি গোঁয়ারের মত বললাম, 'আমি কিন্তু এখনই নাম-নম্বর-প্লেট বদলাবো না।",আমি গোয়ারের মতো বললাম আমি কিন্তু এখনই নাম নম্বর প্লেট বদ লাব না,,2310071181,"প্রতিটি সিঁড়িতে ৯১টি ধাপ রয়েছে,",প্রতিটি সিঁড়িতে একানব্বইটি ধাপ রয়েছে
2311012161,"আমেনা নিষ্পাপ, আমেনা অবোধ! আমেনা নির্দোষ! আমেনা নির্দোষ! আমেনা দোষ-নির্দোষ, পাপ-পুণ্যের বাইরে।",আমেরা নিষ্পাপ আমেনা অবুত আমেরা নির্দোষ আমেরা নির্দোষ আমেরা দোষ নির্দোষ পাপ পূণ্যের বাইরে,,2311021294,.টুটুল। বল না রিনিখালাকে...।,টুটুল বলনা ঋণি খালাকে
2311015388,অস্থির দিলের মানুষ এ-পীর সে-পীর করে। কোনো-কোনো ব্যামারি যেমন এ-হেকিম সে-হেকিম করে।,অস্থির দিলের মানুষ এ পির সে পীর করে কোনো কোনো বেমারি যেমন এ হেকিম সে একিম করে,,2311022073,"পড়বি তো পড়, সোফার ওপরে।",পর্বিত পর সুফার উপরে
2308288110,তিনি নামকরা উকিলও ছিলেন।,তিনি নাম করা উটিলও ছিলেন,,2310301314,বল কোথায় ইটটি। বল বল ।,বলো কোথায় একটি বলও বল
2309021014,ÿþ¸	Í		Á	²	¶	¿		Í	·	¾	°	Í	¥	À	¦	Ç	°,স্কুল শিক্ষার্থীদের প্রাণিজ পুষ্টির যোগানসহ বড় প্রতিষ্ঠানগুলোর সঙ্গে বড় ছোট খামারিদের পরিচয় করিয়ে দেওয়া হয়েছিল এই কর্মসূচির উদ্দেশ্য,,2310071191,এর সামনে জনমনিষ্যি নেই!,এ সামনে জনম নিশিনী
2309021207,আমগাছগুলো তাঁর ব্যক্তিগত সম্পত্তি।,আম গাছগুলো তার ব্যক্তিগত সম্পত্তি,,2311231650,অথচ দিনে ১৫/২০ কাপ চা খাওয়ার অভ্যেস তাঁর।,অথচ তিনে পনেরো বিশ কাপ চা খাওয়ার অভ্যিস স্যার
2309021337,পরিবর্তন অবশ্যম্ভাবী।,পরিবর্তন অবশ্যম ভাবে,,2310302425,সবটাই বাহ্যিক রূপ।,সবটায় বা জিক ্রুপ
2309021491,বামপন্থিরাই আওয়াজটা দিতেন।,বাম পন্থিরাই আওয়াজটা দিতেন,,2311012126,"খামোশ, খামোশ! খামোশ! সবাই খামোশ হোন।",খামস খামস খামস সবাই খামস শুন
2309031464,সে জন্যই প্রয়োজন বিপ্লবের।,সেজন্যই প্রয়োজন বিপ্লবের,,2309241605,এ প্রকল্প বাস্তবায়নে মাথাপিছু খরচ হয়েছে ৫৬০ হতে ৬৭০ টাকা মাত্র।,এ প্রকল্প বাস্তবায়নে মাথাপিছু খরচ হয়েছে পাঁচশো ষাট হতে ছয়শো সত্তর টাকা মাত্র
2309031483,নির্ধারিত মূল্য' শব্দদ্বয় গুরুত্বপূর্ণ।,নির্ধারিত মূল্য শব্দদ্বয় গুরুত্বপূর্ণ,,2309021787,পরের বছর ষষ্ঠ শ্রেণিতে ভর্তি হয় ৭ হাজার ৮৩৫ জন।,পরে বছর ষষ্ঠ শ্রেণিতে ভর্তি হয় সাত হাজার আটশো পঁয়ত্রিশ জন
2309171191,আমি বলবো চন্দ্রশেখর।,আমি বলব চন্দ্র শেখর,,2310301593,কেন শোরগোল কর। জজসাহেব ঘুমিয়ে না?,কেন সুর গোল করো যথছাই ঘুমিয়ে না
2309171282,"প্রথমে পড়লাম টাসসো, ইফিগেনিয়া, এগমন্ট,ইটালিয়ান জার্নি।",প্রথমে পড়লাম তাস্সো ইফেগোনিয়া এগমন ইটালিয়ান জার্নি,,2311021342,রিনিখালা হা হয়ে আছেন।,ঋণি খেলা হা করে আছেন
2309171304,এটা একটুও অতিশয়োক্তি নয়,এটি একটু অতিশয়কতি নয়,,2310301040,(বিশ্বয়ে) দুলায় অমত নেই?না।,বিস্ময় দুলাইম অমত নেই না
2309171339,"গল্প, কবিতা, নাটক শিশুসাহিত্য সবকিছুতে লিখেছেন।",গল্প কবিতার নাটক শিশু সায়িত্য সবকিছুতেই লিখেছেন,,2310301982,বাড়ি পৌছার আগে আর থামি নাই ।,বাড়ি পৌঁছার আগেই আমি আর থামি নেই
2309181049,"জীবনানন্দদাশ কোন ছার! মন পবনের নাও,",জীবনানন্দ দাশ কুন ছার মন পাবনেরও নাও,,2309021013,বাংলাদেশে এই হার মাত্র ১৭৬ মিলিলিটার।,বাংলাদেশে এই হার মাত্র একশো ছিয়াত্তর মিলিলিটার
2309181195,এমনকি সে নাসারন্ধ্র স্বয়ং সাহিত্য-সম্রাট বঙ্কিমচন্দ্রেরও হতে পারে।,এমনকি সে নাশা রন্ধ্র স্বয়ং সায়িত্য সম্রাট বঙ্কিন চন্দ্রেরও হতে পারে,,2309241002,"১৯৬০ সালে দশটি প্রধান শিল্পোন্নত দেশে শ্রমশক্তিতে নারীদের অংশগ্রহণের সর্বনিম্ন হার ছিল ২৯.৫ শতাংশ, সর্বোচ্চ হার ছিল ৭৭.৪ শতাংশ।",উনিশশো ষাট সালে দশটি প্রধান শিল্পোন্নত দেশে শ্রমশক্তিতে নারীদের অংশগ্রহণের সর্বনিম্ন হার ছিল উনত্রিশ দশমিক পাঁচ শতাংশ সর্বোচ্চ হার ছিল সাতাত্তর দশমিক চার শতাংশ
2309231079,"দ্বিতীয়ত, কি ধরনের দান-খয়রাত সবচেয়ে উপকারী?",দ্বিতীয়ত কী ধরনের দান খরার সবচেয়ে উপকারী,,2310071692,"২৫০টি অতুলনীয় চিত্রকর্ম জগৎকে উপহার দিয়েছিলেন মোনে,",দুইশো পঞ্চাশটি অতুলনীয় চিত্রকর্ম জগতকে উপহার দিয়েছিলেন মনি
2309231429,বেসরকারী প্রতিষ্ঠানসমূহের প্রধান দায়িত্ব হল উৎপাদন।,বেসরকারি প্রতিষ্ঠান সমূহের প্রধান দায়িত্ব হলো উৎপাদন,,2310302144,আমেনা। আমেনা কে?,আমেরা আমে নাকি
2309231598,একদিন মনিবের অসুখ করলো।,একবার মণি বের অসুখ করল,,2311231713,"দোকানে জিগ্যেস করলাম- 'সাইনবোর্ড পালটেছেন কেন?' দোকানী জবাব দিল,",দোকানে জিজ্ঞেস করলাম সাইনবোর্ড পাল্টেছেন কেন
2309241025,দারিদ্র্যে মহিলায়ন ঘটেছে।,দারিদ্র্য মহিলায়ন ঘটেছে,,2311021902,'সহজ সরল মনে হচ্ছে না?',সছর মনে হচ্ছে না
2309241048,নারী-পুরুষের আয়ের বৈষম্যের কারণ হল নিয়োগকর্তারা অনেক সময় পক্ষপাতদুষ্ট।,নারী পুরুষের আয়ের বৈষম্যের কারণ হলো নিয়োগ কর্তারা অনেক সময় পক্ষপাত দুষ্ট,,2311021151,১৪ তলা ভবনের ১১ তলায় ছোটখালা থাকেন।,চৌদ্দতলা ভবনের এগারো তলায় ছোট খেলা থাকেন
2309241367,"গুজবে প্রকাশ, স্বয়ং জিবরাইল (আঃ) তাড়াতাড়ি পৃথিবীতে দৌড়ে আসেন।",গুজবে প্রকার স্বায়ং জ ইব্রাইল আলাইহিস সালাম তাড়াতাড়ি পৃথিবীতে দৌড়ে আসেন,,2310301391,"রাবেয়া আপনমনে ঠোঁট টিপে হাসে, নড়েচড়ে আরাম করে শোয়।",র‍্যাবে আপন মনে ঠোঁট টিপে হাসে নড়ে চড়ে আআরামকরে সই
2310011175,"দুর্গ গড়ে তোলো',",দুর্গ গড়ে তোলো,,2310301756,তবে সব খোদারই রহমত।,তাবে সব ক্ষুদা রই রহমত
2310011229,তাঁদের বাড়িতে আমি প্রায়ই যাওয়া-আসা করতাম।,তাদের বাড়িতে আমি প্রায়ই আসে যাওয়া করতাম,,2310302550,না না। গোড়ায় গলদ।,না না কোড়াই গলদ
2310011399,সারা রাত বিছানায় শুয়ে-বসে কাটালাম।,সারারাত বিছানায় শুয়ে বসে কাটালাম,,2310111082,"পানি,  পানি একটু পানি নিয়ে আয়।",পানি পানি একটু নিয়ায়
2310021539,আরিচা ঘাট পেরোনো প্রায় অসম্ভব।,আরিচাঘাট পেরানো প্রায় অসম্ভব,,2311021824,ইউ আর ওয়েল কাম।'- পিচ্চি প্রত্যুত্তর দেয়।,আর ওয়েলকাম পিছিয়ে প্রতোত্তর দেয়
2310071269,"তেমনই কাপড়চোপড় গায়ে, বাতাসে আলখেল্লা ঝুলিয়ে ঘুরে বেড়াচ্ছে আবালবৃদ্ধবনিতা ।",তেমনি কাপড়চোপড় গায়ে বাতাসে আল খেলনা ঝুলিয়ে ঘুরে বেড়াচ্ছে আবাল বৃদ্ধ বণিতা,,2310071546,এর মাঝে নজরে আসে ৩০০০ বছরের পুরনো বাথটাব।,এর মাঝে নজরে আসে তিন হাজার বছর পুরনো বাট্টা
2310071330,"সমানে চলছে বিকিকিনি,",সামনে চলছে বিকি কিনি,,2310071864,"বোদলেয়ার শরীরে নেন বিষের পর বিষ,",বদলি আর সইরে নেন বিশের পণ বিশ
2310071368,যায় কেবলমাত্র অনুভব করা ।,যাই কেবল মাত্র অনুভব করতে,,2309241221,ইতোমধ্যে সরকারব্যাংকসমূহে ৪০৮৩ কোটি টাকার বন্ড দিয়েছে।,ইতোমধ্যে সরকার ব্যাংকসমূহে চার হাজার তিরাশি কোটি টাকার বন্ড দিয়েছে
2310071738,"শিশুমনের কল্পনায় ভেসে উঠত গাছ-গাছালি ছাওয়া কোনো জঙ্গুলে জায়গার কথা,",শিশু মনের কল্পনায় ভেসে উঠত গাছ গাছে লে যাওয়া কোনো জঙ্গলে যাওয়ার কথা,,2310111047,"চুপ, চুপ নালায়েক মেয়ে।",চুপ চুপ না লাইকমে
2310071818,"ফিরেছে পাখপাখালিরাও,",ফিরেছে পাক পাখালীরাও,,2311022040,"সীমা চিৎকবার করে উঠল, এই তুমি খুবই খবিস আছো।",সীমা চিৎকার করে উঠল এই তুমি কিন্তু খুব খুবই সাছো
2310071864,"বোদলেয়ার শরীরে নেন বিষের পর বিষ,",বদলি আর সইরে নেন বিশের পণ বিশ,,2309231171,১৮৩৪ সালে গরীব আইন সংশোধন করে নগদ সাহায্য দেওয়া বন্ধ করে দেওয়া হয়।,আঠারোশো চৌত্রিশ সালে গরিব আইন সংশোধন করে নগদ সাহায্যও দেওয়া বন্ধ করে দেয়া হয়
2310071881,লতা-পাতা-ঘাস-গাছ ঘেরা সফেদ ভবনটি।,লতাপাতা ঘাস গাছঘেরার সফেদ ভবনটি,,2310301874,"বাঘ-ভাল্লুক হবে, তারপর? ।",পাক ভা লুক হবে তারপর
2310071920,যক্ষ্মা ধরা পড়ে তার!,যক্ষমা ধরে পড়ে তার,,2311021882,হ আম্মা। মুছছি। আবার মোছ।,হ্যাঁ আম্মা মুছি আবার মুছ